make,model,price,year,mileage,engine,extCol,intCol,trans,dtype,mpgCity,mpgHw,condition
Honda,CR-V,23900.0,2017,28214,4 Cyl,Beige,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,20495.0,2018,9657,4 Cyl,Black,Black,Automatic,FWD,32,42,Used
Honda,Pilot,30842.0,2018,10801,6 Cyl,Green,Tan,Automatic,AWD,18,26,Used
Honda,Civic,20900.0,2018,16845,4 Cyl,White,Black,Manual,FWD,28,38,Used
Honda,Civic,16491.0,2017,20006,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,CR-V,15982.0,2014,50189,4 Cyl,Unspecified,Unspecified,Automatic,AWD,22,29,Used
Honda,Civic,16242.0,2018,38192,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Civic,17217.0,2017,21867,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Fit,12899.0,2016,33727,4 Cyl,Black,Black,Automatic,FWD,32,37,Used
Honda,Accord,20859.0,2017,11949,4 Cyl,Red,Black,Automatic,FWD,26,34,Used
Honda,Accord,21999.0,2017,29327,6 Cyl,Unspecified,Unspecified,Automatic,FWD,21,32,Used
Honda,CR-V,14988.0,2015,34536,4 Cyl,Red,Tan,Automatic,FWD,27,33,Used
Honda,Odyssey,4950.0,2004,135185,6 Cyl,Blue,Gray,Automatic,FWD,16,23,Used
Honda,Fit,13988.0,2018,44383,4 Cyl,White,Black,Automatic,FWD,31,36,Used
Honda,Civic,16981.0,2017,27566,4 Cyl,Black,Black,Automatic,FWD,31,40,Used
Honda,Accord,16981.0,2017,22428,4 Cyl,Black,Black,Automatic,FWD,26,34,Used
Honda,Accord,16900.0,2017,63796,4 Cyl,Blue,Unspecified,Automatic,FWD,26,34,Used
Honda,Accord,22918.0,2017,8164,6 Cyl,Beige,Tan,Automatic,FWD,21,32,Used
Honda,HR-V,20500.0,2018,22202,4 Cyl,White,Unspecified,Automatic,AWD,27,31,Used
Honda,Civic,20572.0,2018,19290,4 Cyl,Red,Black,Manual,FWD,28,38,Used
Honda,CR-V,16718.0,2016,47608,4 Cyl,Black,Black,Automatic,AWD,25,31,Used
Honda,Accord,26997.0,2019,3021,4 Cyl,White,Unspecified,Automatic,FWD,48,48,Used
Honda,Civic,17991.0,2018,10603,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Accord,23486.0,2018,14328,4 Cyl,Blue,Black,Automatic,FWD,22,32,Used
Honda,Fit,12500.0,2017,85884,4 Cyl,White,Black,Automatic,FWD,32,37,Used
Honda,Civic,17991.0,2018,12832,4 Cyl,White,White,Automatic,FWD,31,40,Used
Honda,Pilot,20192.0,2016,113548,6 Cyl,Blue,Gray,Automatic,AWD,18,25,Used
Honda,Clarity,23232.0,2018,40544,4 Cyl,Gray,Black,Automatic,FWD,44,40,Used
Honda,Civic,17991.0,2018,12832,4 Cyl,White,White,Automatic,FWD,31,40,Used
Honda,Accord,21992.0,2017,22923,6 Cyl,Gray,Gray,Automatic,FWD,21,32,Used
Honda,Civic,19791.0,2018,15016,4 Cyl,Black,Black,Automatic,FWD,30,36,Used
Honda,Civic,19988.0,2018,20248,4 Cyl,Blue,Black,Automatic,FWD,32,42,Used
Honda,CR-V,8995.0,2013,190480,4 Cyl,Gray,Gray,Automatic,AWD,22,29,Used
Honda,CR-V,18918.0,2017,55265,4 Cyl,Silver,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,11988.0,2016,64553,4 Cyl,Gray,Gray,Automatic,FWD,30,40,Used
Honda,Pilot,15988.0,2012,105961,6 Cyl,Black,Black,Automatic,4WD,17,24,Used
Honda,Civic,15918.0,2017,39848,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Accord,17392.0,2018,55237,4 Cyl,Gold,Tan,Automatic,FWD,29,35,Used
Honda,Civic,15691.0,2016,36337,4 Cyl,Gray,Unspecified,Automatic,FWD,31,42,Used
Honda,CR-V,27990.0,2018,26363,4 Cyl,White,Tan,Automatic,AWD,27,33,Used
