make,model,vin,price,year,mileage,engine,extCol,intCol,trans,dtype,mpgCity,mpgHw,condition
Honda,Civic,SHHFK7H59JU402663,19481.0,2018,33116,4 Cyl,Blue,Black,Automatic,FWD,32,42,Used
Honda,Ridgeline,5FPYK3F62KB002807,34995.0,2019,2772,6 Cyl,Red,Tan,Automatic,AWD,18,25,Used
Honda,Ridgeline,2HJYK16528H526879,12750.0,2008,102251,6 Cyl,Silver,Gray,Automatic,4WD,15,20,Used
Honda,Accord,1HGCR2E51GA182851,15424.0,2016,71682,4 Cyl,Black,Black,Manual,FWD,23,33,Used
Honda,Civic,19XFC2F58GE241032,13855.0,2016,49563,4 Cyl,White,Tan,Automatic,FWD,30,40,Used
Honda,Odyssey,5FNRL18964B003905,5650.0,2004,135185,6 Cyl,Blue,Gray,Automatic,FWD,16,23,Used
Honda,Civic,2HGFC2F78JH536792,17597.0,2018,32000,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,HR-V,3CZRU6H31JG718371,19455.0,2018,16310,4 Cyl,Silver,Gray,Automatic,AWD,27,31,Used
Honda,Civic,19XFC2F74HE222559,15918.0,2017,39848,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Pilot,5FNYF5H95HB039648,33723.0,2017,27971,6 Cyl,Unspecified,Unspecified,Automatic,FWD,19,27,Used
Honda,Accord,1HGCT1B65HA005195,21899.0,2017,11949,4 Cyl,Red,Black,Automatic,FWD,26,34,Used
Honda,CR-V,3CZRM3H34GG705203,16493.0,2016,41257,4 Cyl,Gray,Gray,Automatic,FWD,26,32,Used
Honda,Odyssey,5FNRL5H41GB127600,23589.0,2016,15384,6 Cyl,Red,Red,Automatic,FWD,19,27,Used
Honda,Civic,2HGFC2F59JH512628,15842.0,2018,36969,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Civic,19XFC2F60KE209967,18981.0,2019,5191,4 Cyl,Silver,Black,Automatic,FWD,29,37,Used
Honda,Ridgeline,5FPYK1F56EB004883,18988.0,2014,118699,6 Cyl,White,Black,Automatic,4WD,16,21,Used
Honda,Civic,2HGFC3A54JH751484,20988.0,2018,19290,4 Cyl,Red,Black,Manual,FWD,28,38,Used
Honda,Civic,2HGFC2F62KH518720,18900.0,2019,5577,4 Cyl,White,Unspecified,Automatic,FWD,29,37,Used
Honda,HR-V,3CZRU6H55JM715606,20900.0,2018,22202,4 Cyl,White,Unspecified,Automatic,AWD,27,31,Used
Honda,CR-V,2HKRM4H4XGH684255,18900.0,2016,34546,4 Cyl,Silver,Unspecified,Automatic,AWD,25,31,Used
Honda,CR-V,5J6RW1H81HL003404,24900.0,2017,28214,4 Cyl,Beige,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,19XFC2F58HE212096,15900.0,2017,45409,4 Cyl,Gray,Unspecified,Automatic,FWD,31,40,Used
Honda,CR-V,2HKRM3H33EH560679,15500.0,2014,37326,4 Cyl,Silver,Gray,Automatic,FWD,23,30,Used
Honda,CR-V,5J6RW2H88JL028196,28944.0,2018,15285,4 Cyl,White,Black,Automatic,AWD,27,33,Used
Honda,Accord,1HGCR2F3XHA245041,14995.0,2017,15703,4 Cyl,Silver,Gray,Automatic,FWD,26,34,Used
Honda,Ridgeline,5FPYK3F79HB029228,30900.0,2017,33515,6 Cyl,Black,Black,Automatic,AWD,18,25,Used
Honda,Civic,2HGFC2F87KH529570,17988.0,2019,15915,4 Cyl,Black,Black,Automatic,FWD,29,37,Used
Honda,Accord,1HGCR2F38HA220316,16999.0,2017,22460,4 Cyl,Silver,Black,Automatic,FWD,26,34,Used
Honda,Accord,JHMCM56343C025632,4495.0,2003,152428,4 Cyl,Blue,Gray,Automatic,FWD,21,31,Used
Honda,Accord,1HGCR3F84HA001337,16777.0,2017,83319,6 Cyl,Black,Black,Automatic,FWD,21,32,Used
Honda,Civic,19XFC2F88KE201570,18499.0,2019,12117,4 Cyl,Silver,Black,Automatic,FWD,29,37,Used
Honda,Ridgeline,5FPYK3F68HB003985,27997.0,2017,54852,6 Cyl,Gray,Unspecified,Automatic,AWD,18,25,Used
Honda,Accord,1HGCR2F9XHA037374,20261.0,2017,41489,4 Cyl,Gold,Unspecified,Automatic,FWD,26,34,Used
Honda,Accord,1HGCR2F86DA113013,12997.0,2013,86000,4 Cyl,White,Tan,Automatic,FWD,26,34,Used
Honda,Accord,1HGCP26459A136714,6500.0,2009,142668,4 Cyl,Black,Gray,Automatic,FWD,21,30,Used
Honda,Civic,2HGFC3A59JH750914,21968.0,2018,12719,4 Cyl,Unspecified,Unspecified,Manual,FWD,28,38,Used
Honda,Accord,1HGCR2F37HA251928,15999.0,2017,36229,4 Cyl,Beige,Tan,Automatic,FWD,26,34,Used
Honda,Ridgeline,5FPYK3F56HB005158,29850.0,2017,35710,6 Cyl,White,Tan,Automatic,AWD,18,25,Used
Honda,Odyssey,5FNRL5H93EB104392,16999.0,2014,119000,6 Cyl,Silver,Gray,Automatic,FWD,19,27,Used
Honda,Civic,2HGFC2F50JH533349,17641.0,2018,26995,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
