School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Johnson Elementary,20.83,23.95,3.12,13.72,20.57,6.85,1
Honey Hollow Elementary,21.21,32.59,11.38,13.71,21.2,7.49,1
Garfield Elementary,21.15,25.5,4.35,19.79,27.71,7.92,1
Ethel M. Evans Elementary,65.02,62.34,-2.68,60.59,59.81,-0.78,1
Kohler Elementary,32.82,34.2,1.38,27.96,28.57,0.61,1
Alpine Elementary,25.54,27.22,1.68,24.29,18.47,-5.82,1
Stewart Elementary,33.33,30.48,-2.85,19.94,21.47,1.53,1
Curtis Creek Elementary School District,47.69,47.62,-0.07,36.23,36.19,-0.04,0
Curtis Creek Elementary,47.69,47.62,-0.07,36.23,36.19,-0.04,1
American Lakes,20.68,21.97,1.29,13.56,13.92,0.36,1
Westside Global Awareness Magnet,56.13,47.15,-8.98,40.19,31.33,-8.86,1
Manual Arts Senior High,32.45,24.84,-7.61,9.92,5.71,-4.21,1
Alexandria Avenue Elementary,29.3,35.37,6.07,21.5,29.52,8.02,1
Ramona Elementary,28.08,37.94,9.86,21.55,34.29,12.74,1
Sierra Linda Elementary,19.63,28.57,8.94,9.35,16.24,6.89,1
Mintie White Elementary,19.51,21.66,2.15,13.98,19.37,5.39,1
Farr Avenue Elementary,22.55,29.58,7.03,25.08,32.06,6.98,1
El Dorado Elementary,36.42,32.38,-4.04,24.5,24.13,-0.37,1
Crafton Elementary,59.12,57.88,-1.24,54.11,44.73,-9.38,1
Valley View Elementary,67.58,60.95,-6.63,64.01,60.95,-3.06,1
Cordelia Hills Elementary,61.61,66.98,5.37,51.94,66.56,14.62,1
Henry P. Mohr Elementary,81.48,86.98,5.5,86.29,88.25,1.96,1
Frank L. Huff Elementary,89.58,87.62,-1.96,86.06,86.35,0.29,1
Lake Canyon Elementary,51.84,56.23,4.39,40.74,47.94,7.2,1
Thurgood Marshall Elementary,43.18,40.13,-3.05,29.09,28.89,-0.2,1
North Davis Elementary,76.42,69.23,-7.19,73.05,71.75,-1.3,1
Breen Elementary,59.82,66.03,6.21,61.96,61.9,-0.06,1
Twin Lakes Elementary,52.77,55.87,3.1,46.91,50.32,3.41,1
Heritage,71.61,67.62,-3.99,66.04,67.2,1.16,1
Pacific View Charter,31.39,33.87,2.48,12.41,8.25,-4.16,1
Odyssey Charter,78.68,76.19,-2.49,67.92,63.69,-4.23,1
Animo Ellen Ochoa Charter Middle,26.13,36.19,10.06,11.73,15.06,3.33,1
Beverly Hills High,82.51,68.47,-14.04,58.7,61.46,2.76,1
La Gloria Elementary,36.2,34.5,-1.7,30.58,34.71,4.13,1
Walnut Park Elementary,31.36,26.28,-5.08,16.81,23.25,6.44,1
Gates Street Elementary,37.46,40.58,3.12,26.73,29.62,2.89,1
Bachrodt Charter Academy,33.66,34.71,1.05,26.86,28.12,1.26,1
Date Elementary,25.58,33.23,7.65,14.24,23.89,9.65,1
Charles G. Emery Elementary,66.76,62.82,-3.94,59.23,59.55,0.32,1
Dickson Elementary,34.12,36.45,2.33,23.24,28.98,5.74,1
Adelante Dual Language Academy,46.5,42.68,-3.82,40.95,45.54,4.59,1
Katherine R. Smith Elementary,21.79,20.13,-1.66,18.53,16.24,-2.29,1
West Valley Elementary,82.07,81.11,-0.96,81.51,82.17,0.66,1
Anthony Spangler Elementary,70.06,69.97,-0.09,62.66,64.33,1.67,1
Ramona Elementary,46.18,50,3.82,30.65,39.62,8.97,1
Anderson Elementary,51.67,47.57,-4.1,54.68,51.27,-3.41,1
Stockton Collegiate International Secondary,46.54,46.18,-0.36,26.81,24.84,-1.97,1
Franklin Elementary,68.34,61.86,-6.48,53.28,50.32,-2.96,1
NextGeneration STEAM Academy,50.96,52.72,1.76,41,45.54,4.54,1
Aspire Richmond Ca. College Preparatory Academy,41.03,39.23,-1.8,18.47,21.66,3.19,1
Castlemont Elementary,57.96,61.17,3.21,50.75,54.81,4.06,1
Kornblum,40.75,45.05,4.3,33.64,35.78,2.14,1
Warner Avenue Elementary,89.04,86.97,-2.07,85.11,86.26,1.15,1
Forest Hill Elementary,90.1,85.85,-4.25,85.14,85.85,0.71,1
Danbrook Elementary,48.07,50.65,2.58,47.35,46.65,-0.7,1
Jefferson (Thomas) Elementary,33.44,37.82,4.38,31.19,34.5,3.31,1
Hickman Charter,58.15,59.8,1.65,43.13,45.78,2.65,1
Maryland Elementary,33.2,34.43,1.23,22.92,26.92,4,1
Lincoln Acres,35.5,39.03,3.53,26.38,25.24,-1.14,1
Shaffer Elementary,37.79,42.95,5.16,26.92,33.87,6.95,1
Wayne Van Horn Elementary,35.14,40.58,5.44,22.1,27.8,5.7,1
Emory Elementary,43.65,46.3,2.65,38.3,39.94,1.64,1
Laurel Wood Elementary,44.59,38.91,-5.68,34.92,36.42,1.5,1
Revere (Paul) Elementary,19.86,18.91,-0.95,10.31,8.01,-2.3,1
Granada Elementary,51.03,48.37,-2.66,32.42,38.34,5.92,1
Pleasant Valley School of Engineering and Arts,54.51,60.38,5.87,38.99,45.69,6.7,1
San Benancio Middle,75.34,75.72,0.38,64.04,56.55,-7.49,1
John F. Kennedy High,65.2,70.65,5.45,43.21,42.95,-0.26,1
Erwin Elementary,43.65,46.56,2.91,37.61,39.1,1.49,1
Wildomar Elementary,34.86,41.03,6.17,31.5,38.59,7.09,1
Luigi Aprea Elementary,63.76,60.26,-3.5,59.5,56.73,-2.77,1
Elm Street Elementary,20.18,22.26,2.08,12.54,11.54,-1,1
Concordia Elementary,70.16,73.08,2.92,66.67,68.59,1.92,1
Del Dayo Elementary,71.77,67.63,-4.14,62.28,63.87,1.59,1
Nea Community Learning Center,44.37,50.32,5.95,34.04,43.09,9.05,1
George Eisenhut Elementary,37.29,37.74,0.45,25,25.96,0.96,1
Melrose Leadership Academy,38.37,39.71,1.34,23.55,26.92,3.37,1
Cottonwood Elementary,35.77,50.8,15.03,30.22,32.05,1.83,1
Centennial Elementary,64.95,63.67,-1.28,65.41,64.74,-0.67,1
Kennedy Elementary,31.92,37.01,5.09,21.68,27.56,5.88,1
Gabriella Charter,70.43,61.41,-9.02,60.67,49.36,-11.31,1
High Tech Middle Media Arts,45.54,57.05,11.51,31.63,40.38,8.75,1
Vista Real Charter High,25.76,27.18,1.42,3.8,3.22,-0.58,1
Miguel Hidalgo Elementary,17.81,27.01,9.2,18.03,28.16,10.13,1
Malabar Street Elementary,33.24,31.83,-1.41,31.05,26.37,-4.68,1
Theodore Roosevelt,37.76,47.25,9.49,38.67,35.05,-3.62,1
Mayo Elementary,42.14,41.8,-0.34,41.19,45.63,4.44,1
Sam V. Curtis Elementary,47.74,44.69,-3.05,29.62,31.61,1.99,1
Blossom Hill Elementary,81.33,83.92,2.59,78.55,82.08,3.53,1
Sycamore Valley Elementary,77.22,80.71,3.49,80.06,82.96,2.9,1
Washington Elementary,29.85,31.83,1.98,24.4,27.33,2.93,1
Carver Elementary,90.91,92.13,1.22,91.37,91.64,0.27,1
Centralia Elementary,48.59,44.16,-4.43,41.12,38.59,-2.53,1
Alice Birney Waldorf-Inspired,49.07,48.55,-0.52,27.55,25.49,-2.06,1
La Paloma Elementary,59.45,57.19,-2.26,47.97,46.62,-1.35,1
Monterey Park Elementary,31.15,33.76,2.61,23.2,28.06,4.86,1
Wright Charter,45.78,50.97,5.19,22.82,27.33,4.51,1
ASCEND,33.55,36.33,2.78,31.09,34.08,2.99,1
Sal Castro Middle,21.88,25.32,3.44,14.58,16.4,1.82,1
Century High,31.87,35.48,3.61,13.38,11.97,-1.41,1
Witter Ranch Elementary,37.7,44.84,7.14,30.57,40.86,10.29,1
Dr. Reynaldo J. Carreon Jr. Academy,52.69,55.99,3.3,36.72,45.48,8.76,1
Calabasas Elementary,18.67,21.29,2.62,15.66,18.39,2.73,1
Turner Elementary,33.55,35.08,1.53,30,32.9,2.9,1
North Country Elementary,44.73,46.41,1.68,27.3,34.19,6.89,1
Ralph E. Hawes Elementary,81.33,79.61,-1.72,84,84.19,0.19,1
J. Haley Durham Elementary,65.89,75,9.11,59.46,72.26,12.8,1
Donaldson Way Elementary,47.37,53.23,5.86,48.61,49.35,0.74,1
Creekside Elementary,27.42,24.6,-2.82,17.67,19.68,2.01,1
George B. Miller Elementary,77.27,74.19,-3.08,70.61,73.87,3.26,1
Theodore Judah Elementary,64.24,66.77,2.53,54.92,60.32,5.4,1
Pine Grove Elementary,62.34,58.06,-4.28,54.75,46.77,-7.98,1
Contra Costa School of Performing Arts,47.84,48.7,0.86,30.08,27.1,-2.98,1
New Los Angeles Charter,40.13,37.42,-2.71,28.19,22.9,-5.29,1
John Adams Academy - El Dorado Hills,70.29,67.42,-2.87,54.35,49.19,-5.16,1
Sylmar Charter High,47.7,45.31,-2.39,27.81,28.9,1.09,1
Miramonte High,73.11,92.56,19.45,64.14,76.62,12.48,1
Vista Verde Elementary,29.34,26.86,-2.48,13.06,18.51,5.45,1
Martin Luther King Jr. Elementary,24.16,21.82,-2.34,23.17,22.01,-1.16,1
Ellis Elementary,52.33,63.58,11.25,47.87,56.31,8.44,1
Starlight Elementary,21.08,21.1,0.02,25.38,28.25,2.87,1
Slater Elementary,32.08,30.74,-1.34,23.58,29.61,6.03,1
Riviera Elementary,68.34,72.88,4.54,70.22,72.82,2.6,1
Hillcrest Drive Elementary,20.79,18.15,-2.64,21.5,17.8,-3.7,1
Park Village Elementary,84.29,87.34,3.05,83.01,84.79,1.78,1
Hope Elementary,73.57,71.89,-1.68,68.59,69.9,1.31,1
Fremont Elementary,49.53,46.43,-3.1,35.42,31.07,-4.35,1
Jaime Escalante Elementary,37.84,42.3,4.46,29.83,32.04,2.21,1
Lopez Elementary,28.57,39.81,11.24,19.75,25.57,5.82,1
Willow Elementary,78.79,83.44,4.65,77.7,82.2,4.5,1
Vista Academy of Visual and Performing Arts,38.24,39.16,0.92,19.41,23.95,4.54,1
Vena Avenue Elementary,70.27,66.67,-3.6,58.25,56.63,-1.62,1
Lost Hills Union Elementary School District,25.2,27.36,2.16,11.11,12.94,1.83,0
River Oaks Elementary,65.81,57.14,-8.67,57.56,54.37,-3.19,1
Martin Luther King Elementary,23.86,32.69,8.83,19.61,30.94,11.33,1
Macy Elementary,56.67,54.05,-2.62,42.33,42.39,0.06,1
Hidden Trails Elementary,74.51,72.7,-1.81,68.63,70.45,1.82,1
Journey,44.65,57.93,13.28,35.66,45.45,9.79,1
Monson-Sultana Joint Union Elementary School District,35.16,30.26,-4.9,28.71,28.48,-0.23,0
Monson-Sultana Elementary,35.16,30.26,-4.9,28.71,28.48,-0.23,1
Sierra Ridge Middle,46.03,48.54,2.51,37.66,39.81,2.15,1
Golden Poppy Elementary,31.37,29.22,-2.15,17.7,20.26,2.56,1
Garfield Elementary,41.99,38.64,-3.35,40.45,37.01,-3.44,1
Holly Avenue Elementary,79.32,80.2,0.88,77.97,76.95,-1.02,1
Commonwealth Avenue Elementary,48.2,44.97,-3.23,40.07,36.36,-3.71,1
Figarden Elementary,40.86,44.48,3.62,36.67,43.97,7.3,1
Theodore Roosevelt Elementary,75.47,74.84,-0.63,72.27,68.83,-3.44,1
Taft Elementary,35.67,40.07,4.4,22.32,25.97,3.65,1
James Madison Elementary,20.87,23.78,2.91,20.25,18.63,-1.62,1
Alvin S. Hatch Elementary,40.75,46.2,5.45,33.56,33.77,0.21,1
Liberty Elementary,87.9,87.01,-0.89,84.76,83.12,-1.64,1
Mariemont Elementary,69.26,66.56,-2.7,60.4,64.05,3.65,1
Hansen Elementary,44.73,46.23,1.5,41.03,44.48,3.45,1
Twentynine Palms Elementary,44.59,42.86,-1.73,33.33,31.05,-2.28,1
Karl F. Clemens Elementary,28,27.06,-0.94,13.33,16.23,2.9,1
Caswell Elementary,24.21,12.38,-11.83,13.62,11.73,-1.89,1
Aspire Lionel Wilson College Preparatory Academy,39.18,36.72,-2.46,31.85,25,-6.85,1
Ceiba College Preparatory Academy,46.15,50.65,4.5,33.65,42.21,8.56,1
Dunsmore Elementary,77.04,76.95,-0.09,67.32,71.75,4.43,1
Ada Givens Elementary,38.75,42.86,4.11,27.68,32.03,4.35,1
McKinley Elementary,40.64,36.33,-4.31,31.94,34.09,2.15,1
Washington Colony Elementary School District,37.37,37.99,0.62,36.07,34.64,-1.43,0
Washington Colony Elementary,37.37,37.99,0.62,36.07,34.64,-1.43,1
Carson Senior High,46.58,47.39,0.81,19.75,23.78,4.03,1
Foothill High,58.11,72.22,14.11,41.89,46.89,5,1
Franklin Elementary,38.55,33.78,-4.77,31.95,29.57,-2.38,1
Richard Bard Elementary,30.87,36.81,5.94,21.22,28.43,7.21,1
Tweedy Elementary,32.31,35.62,3.31,34.34,34.53,0.19,1
Buford Elementary,38.94,41.83,2.89,49.38,48.53,-0.85,1
Willow Cove Elementary,27.24,33.55,6.31,11.59,19.22,7.63,1
D. J. Sedgwick Elementary,77.64,78.15,0.51,80.36,77.52,-2.84,1
Highland Elementary,33.97,36.16,2.19,24.28,25.49,1.21,1
La Granada Elementary,35.25,30.07,-5.18,16.96,14.98,-1.98,1
H. Allen Hight Elementary,31.23,39.87,8.64,21.4,30.94,9.54,1
Vinland Elementary,25.68,30.62,4.94,15.87,23.45,7.58,1
Wishon Elementary,49.2,42.62,-6.58,45.34,41.37,-3.97,1
Margaret Sheehy Elementary,29.17,24.1,-5.07,18.47,19.87,1.4,1
Nelson Elementary,60.06,58.82,-1.24,48.04,49.19,1.15,1
Sierra Elementary,75,72.96,-2.04,61.51,63.84,2.33,1
Adams Elementary,57.19,52.12,-5.07,48.25,48.86,0.61,1
College Park Elementary,30.42,34.21,3.79,23.3,28.34,5.04,1
Hanson Elementary,43.56,46.05,2.49,32.72,32.25,-0.47,1
Santa Rita Elementary,81.73,75.42,-6.31,80.06,72.96,-7.1,1
Buena Terra Elementary,66.78,67.97,1.19,65.25,70.03,4.78,1
Wonderland Avenue Elementary,94.03,93.81,-0.22,89.31,87.3,-2.01,1
Atherwood Elementary,67.6,63.84,-3.76,60.63,57,-3.63,1
Burns Valley,31.23,31.6,0.37,16.09,23.75,7.66,1
Rancho Elementary,69.42,61.56,-7.86,51.46,51.79,0.33,1
Royal Oaks Elementary,29.59,44.12,14.53,30.95,31.48,0.53,1
Gold Oak Union Elementary School District,49.35,51.31,1.96,41.88,41.04,-0.84,0
REACH Leadership STEAM Academy,55.02,51.47,-3.55,37.5,40.07,2.57,1
Enterprise Middle,30.69,34.85,4.16,15.42,16.01,0.59,1
High Tech Middle,57.33,60.13,2.8,42.19,38.11,-4.08,1
Ranchos Middle,61.39,59.61,-1.78,40,38.11,-1.89,1
Lodestar: A Lighthouse Community Charter Public,32.21,28.34,-3.87,17.45,19.22,1.77,1
Littlerock High,27.93,33.99,6.06,7.24,6.89,-0.35,1
Artesia High,60,54.9,-5.1,27.76,27.24,-0.52,1
De Anza High,45.7,45.25,-0.45,13.62,11.55,-2.07,1
John F. Kennedy Elementary,28.66,29.04,0.38,35.37,33.33,-2.04,1
Moulton Elementary,73.16,79.02,5.86,69.33,72.88,3.55,1
Montevideo Elementary,77.15,80.72,3.57,71.95,76.64,4.69,1
Woodrow Wilson Elementary,34.75,33.11,-1.64,23.93,27.45,3.52,1
Shirpser Elementary,40.69,40.92,0.23,33.44,33.66,0.22,1
Torrey Hills,84.12,84.08,-0.04,79.73,78.1,-1.63,1
Oehl Elementary,33.13,40.26,7.13,18.58,28.43,9.85,1
Warm Springs Elementary,28.33,31.37,3.04,20.79,23.36,2.57,1
John C. Fremont Elementary,33.44,40.98,7.54,20.65,26.14,5.49,1
Peres Elementary,26.2,26.14,-0.06,18.98,19.14,0.16,1
Kern Workforce 2000 Academy,6.55,4.58,-1.97,0.45,0,-0.45,1
Clyde L. Fischer Middle,16.19,21.96,5.77,16.25,15.36,-0.89,1
Highland Academy,48.41,50,1.59,26.84,28.76,1.92,1
KIPP Bayview Academy,41.64,38.82,-2.82,31.18,32.79,1.61,1
Livingston High,43.45,49.84,6.39,23.1,14.47,-8.63,1
Learning Choice Academy,56.11,52.15,-3.96,24.35,27.3,2.95,1
Oak Grove Elementary,73.56,77.89,4.33,68.09,65.25,-2.84,1
John G. Mattos Elementary,63.5,64.59,1.09,58.58,60.33,1.75,1
Reynolds Elementary,37.19,43.93,6.74,40.7,40.13,-0.57,1
Columbia Elementary,19.22,27.54,8.32,16.62,20.33,3.71,1
Glen Avon Elementary,45.29,46,0.71,37.46,37.05,-0.41,1
Gold Ridge Elementary,78.53,78.29,-0.24,67.18,67.87,0.69,1
Rocky Hill Elementary,45.45,47.19,1.74,40.85,36.39,-4.46,1
Bonita Elementary,19.06,24.75,5.69,19.34,23.28,3.94,1
Mt. Vernon Elementary,43.02,41.97,-1.05,32.27,19.67,-12.6,1
Clarence Ruth Elementary,31,35.08,4.08,16.31,20.72,4.41,1
Rio del Mar Elementary,70.81,68.52,-2.29,65.99,63.16,-2.83,1
Sunnyslope Elementary,26.26,25.5,-0.76,23.2,22.62,-0.58,1
North Tamarind Elementary,23.76,25.33,1.57,11.15,15.08,3.93,1
Harvey Green Elementary,80,77.74,-2.26,77.36,74.1,-3.26,1
Voices College-Bound Language Academy,56.67,50.49,-6.18,52.16,43.28,-8.88,1
Windmill Springs Elementary,49.26,43.61,-5.65,46.15,41.31,-4.84,1
Brittan Elementary School District,36.93,46.05,9.12,38.24,34.21,-4.03,0
Brittan Elementary,36.93,46.05,9.12,38.24,34.21,-4.03,1
California Montessori Project-Shingle Springs Campus,64.71,67.87,3.16,53.63,55.12,1.49,1
Aspire Pacific Academy,54.09,45.72,-8.37,29.75,31.8,2.05,1
Corte Madera,82.48,87.5,5.02,83.38,81.97,-1.41,1
Acalanes High,82.51,91.42,8.91,70.2,73.24,3.04,1
Western Sierra Collegiate Academy,73.15,86.18,13.03,54.58,67.76,13.18,1
Myford Elementary,74.35,75.66,1.31,72.33,75.99,3.66,1
Tierra Linda Elementary,66.67,65.79,-0.88,59.03,60.47,1.44,1
Thurgood Marshall Elementary,41.38,48.68,7.3,34.14,41.78,7.64,1
Vintage Hills Elementary,82.61,82.24,-0.37,79.75,82.84,3.09,1
Graystone Elementary,88.52,90.46,1.94,86.67,90.76,4.09,1
Dent Elementary,43.58,47.04,3.46,33.45,40.79,7.34,1
Flying Hills Elementary,49.06,47.37,-1.69,40.75,39.6,-1.15,1
Otay Elementary,58.42,56.61,-1.81,37.42,34.54,-2.88,1
Ira Harbison,49.54,38.82,-10.72,36.11,24.34,-11.77,1
Juarez-Lincoln Elementary,54.13,53.97,-0.16,34.55,38.16,3.61,1
Peralta Elementary,35.38,35.53,0.15,26.15,27.63,1.48,1
Anderson Elementary,56.49,48.68,-7.81,48.42,49.67,1.25,1
Mission Estancia Elementary,80.5,80.59,0.09,75.39,75.99,0.6,1
Oakwood Elementary,22.9,30.59,7.69,16.35,17.82,1.47,1
PUC Excel Charter Academy,30.77,41.12,10.35,23.08,25.42,2.34,1
Newcastle Elementary School District,63.84,62.05,-1.79,51.3,49.17,-2.13,0
Community Collaborative Charter,50.58,45.67,-4.91,33.82,25.17,-8.65,1
Placer High,70.67,67.33,-3.34,44.82,37.95,-6.87,1
Capuchino High,63.46,60.75,-2.71,31.91,33.66,1.75,1
Marian Bergeson Elementary,64.37,71.29,6.92,65.97,67,1.03,1
Hort Elementary,29.75,37.33,7.58,16.88,23.43,6.55,1
Truman Benedict Elementary,71.7,70.96,-0.74,62.06,68.32,6.26,1
William Collier Elementary,36.93,40.07,3.14,31.34,32.67,1.33,1
Barranca Elementary,62.09,65.02,2.93,55.23,50.99,-4.24,1
Oak Mesa Elementary,83.39,82.51,-0.88,76.87,78.55,1.68,1
Phelan Elementary,27.21,33.33,6.12,25.32,28.71,3.39,1
Coronita Elementary,41.8,44.67,2.87,34.52,36.3,1.78,1
Del Mar Elementary,36.24,38.94,2.7,30.43,33,2.57,1
Wakefield Elementary,22.52,21.81,-0.71,12.8,11.22,-1.58,1
Hermosa Elementary,55.41,63.91,8.5,44.59,56.44,11.85,1
Elbow Creek Elementary,47.97,47.52,-0.45,38.51,36.88,-1.63,1
Jacoby Creek Elementary School District,82.67,78.22,-4.45,69.33,70.63,1.3,0
Jacoby Creek,82.67,78.22,-4.45,69.33,70.63,1.3,1
Loomis Basin Charter,73.75,77.89,4.14,68.44,71.95,3.51,1
Gateway Middle,60.32,56.11,-4.21,33.98,31.77,-2.21,1
Hollywood Senior High,61.7,52.32,-9.38,26.22,24.33,-1.89,1
Mt. Pleasant High,55.36,57.62,2.26,29.51,26.09,-3.42,1
South San Francisco High,51.89,53.57,1.68,27.72,27.15,-0.57,1
Santa Lucia Elementary,33.33,31.89,-1.44,28.36,30.13,1.77,1
Ruskin Elementary,76.99,74.25,-2.74,74.47,73.18,-1.29,1
Lucille Roybal-Allard Elementary,38.22,43.71,5.49,28.89,29.9,1.01,1
La Jolla Elementary,98.19,97.33,-0.86,97.46,95.3,-2.16,1
Ron Nunn Elementary,61.87,69.54,7.67,50.17,53.67,3.5,1
Decker Elementary,38.28,36.42,-1.86,22.44,26.49,4.05,1
Lincoln Elementary,29.7,37.37,7.67,26.42,41.06,14.64,1
Our Community Charter,73.91,68.21,-5.7,64.88,61.92,-2.96,1
Earlimart Elementary,30.67,26.25,-4.42,17.72,13.62,-4.1,1
Bathgate Elementary,72.31,78.93,6.62,64.31,67.44,3.13,1
Killian Elementary,64.76,62.84,-1.92,61.01,61.79,0.78,1
Sierra Elementary,22.66,24,1.34,10.47,10.96,0.49,1
Captain Jason M. Dahl Elementary,33.44,30.07,-3.37,28.85,27.91,-0.94,1
New Republic Elementary,47.57,45.05,-2.52,38.19,41.3,3.11,1
Merlinda Elementary,61.61,55.15,-6.46,47.93,47.33,-0.6,1
Holly Oak Elementary,48.95,47.32,-1.63,41.74,38.87,-2.87,1
University Park Elementary,65.84,66.29,0.45,61.89,63.46,1.57,1
Oster Elementary,81.96,79.12,-2.84,81.07,78.26,-2.81,1
Sixty-First Street Elementary,23.55,31.08,7.53,20.61,24.25,3.64,1
Newport Coast Elementary,83.95,80.94,-3.01,74.4,80.73,6.33,1
James Dukes Elementary,51.18,55.85,4.67,48.15,51.33,3.18,1
Los Coyotes Elementary,89.64,93.02,3.38,86.08,89.33,3.25,1
Epic Charter,27.38,28.33,0.95,17.76,14.62,-3.14,1
Mountain View Middle,57.78,61.67,3.89,53.65,50.17,-3.48,1
Sutter Peak Charter Academy,39.3,41.28,1.98,23.44,25.84,2.4,1
San Rafael High,49.83,45.82,-4.01,33.11,28.67,-4.44,1
Kelley Elementary,33.44,39,5.56,18.65,26.67,8.02,1
Foothill Oak Elementary,34.73,31.99,-2.74,30.89,27.33,-3.56,1
Bemis Elementary,22.01,26.51,4.5,13.55,15.33,1.78,1
Birney Elementary,47.59,47.33,-0.26,41.35,48,6.65,1
Bobier Elementary,34.19,32.44,-1.75,26.98,28,1.02,1
Pacific Elementary,85.03,85.67,0.64,88.85,86.33,-2.52,1
Stevenson Elementary,53.98,54.18,0.2,36.81,47.16,10.35,1
Canyon Vista Elementary,73.58,77,3.42,67.4,74.67,7.27,1
Meridian Elementary,24.92,30.33,5.41,24.35,21.33,-3.02,1
Evergreen Elementary,75,78.45,3.45,75.54,75.67,0.13,1
Lincoln Elementary,77.43,78.67,1.24,76.04,79,2.96,1
Ridge Crest Elementary,33.12,38,4.88,30.17,35,4.83,1
Desert Knolls Elementary,36,40.94,4.94,29,23.33,-5.67,1
Red Oak Elementary,85.47,84.33,-1.14,82.03,82,-0.03,1
Cerra Vista Elementary,57.28,48.49,-8.79,41.32,42.33,1.01,1
Don Stowell Elementary,23.46,22.33,-1.13,14.91,20.81,5.9,1
Barrett Ranch Elementary,49.09,51.34,2.25,45.52,46.33,0.81,1
Discovery Charter II,65.43,60.74,-4.69,60.07,50.84,-9.23,1
Pajaro Valley High,46.64,37.79,-8.85,12.77,13.42,0.65,1
Campolindo High,94.12,93.98,-0.14,82.65,83.56,0.91,1
Oak View Elementary,30.38,33.33,2.95,23.1,31.1,8,1
Wilson Elementary,22.9,39.59,16.69,20.58,33.11,12.53,1
Vista Grande Elementary,74.34,75.17,0.83,76.32,75.92,-0.4,1
Helen Estock Elementary,29.45,25.08,-4.37,18.06,19.73,1.67,1
Georgia Morris Elementary,29.57,35.57,6,18.9,30.43,11.53,1
Montera Elementary,42.72,36.03,-6.69,27.55,29.77,2.22,1
Walter White Elementary,31.85,26.85,-5,17.01,18.52,1.51,1
Arthur F. Corey Elementary,54.75,48.66,-6.09,46.71,42.14,-4.57,1
Kennedy Gardens Elementary,20.44,30.04,9.6,10.32,14.72,4.4,1
Eastwood Elementary,74.29,74.92,0.63,68.93,68.56,-0.37,1
Topaz Elementary,41.3,39.53,-1.77,38.1,38.13,0.03,1
Ina Arbuckle Elementary,24.92,17.63,-7.29,16.78,15.1,-1.68,1
Meadow Green Elementary,72.4,73.24,0.84,60.57,61.87,1.3,1
Indianola Elementary,44.17,38.51,-5.66,31.29,27.42,-3.87,1
Rosita Elementary,54.04,51.35,-2.69,44.91,50.17,5.26,1
Lazear Charter Academy,35.79,48.15,12.36,28.9,35.12,6.22,1
Keppel Academy,41.94,45.82,3.88,24.78,20.88,-3.9,1
Alliance Academy,9.94,18.48,8.54,3.55,7.36,3.81,1
Mammoth Middle,55.05,57.63,2.58,44.41,45.15,0.74,1
Downtown Charter Academy,75.56,68.23,-7.33,79.34,65.22,-14.12,1
Ramon C. Cortines School of Visual and Performing Arts,57.51,54.76,-2.75,19.6,17.45,-2.15,1
Piner High,,33.57,,,8.45,,1
Marina Vista Elementary,34.1,34.56,0.46,28.62,28.96,0.34,1
El Roble Elementary,33.66,38.85,5.19,31.58,35.57,3.99,1
Twin Oaks Elementary,49.67,57.05,7.38,41.67,45.61,3.94,1
Hawaiian Avenue Elementary,24.72,32.21,7.49,23.79,30.54,6.75,1
Van Nuys Elementary,16.78,25.17,8.39,8.72,23.15,14.43,1
Beckford Charter for Enriched Studies,77.98,73.06,-4.92,72.17,76.51,4.34,1
Tamura (Hisamatsu) Elementary,75.72,77.85,2.13,81.53,83.56,2.03,1
Tustin Memorial Elementary,88.18,87.92,-0.26,82.43,83.89,1.46,1
Towers Elementary,73.97,71.28,-2.69,79.79,79.53,-0.26,1
R. L. Stevenson Elementary,69.13,76.17,7.04,59.67,61.07,1.4,1
PUC CALS Middle School and Early College High,46.55,49.16,2.61,28.57,30.54,1.97,1
Ranch View Elementary,49.1,59.06,9.96,41.7,47.99,6.29,1
Robert L. Stevens Elementary,61.79,59.6,-2.19,45.71,45.97,0.26,1
Highland Elementary,27.92,16.16,-11.76,16.67,8.39,-8.28,1
Ethel Phillips Elementary,17.43,21.88,4.45,19.42,22.48,3.06,1
Audubon K-8,34.51,35.69,1.18,30.27,28.28,-1.99,1
California Elementary,45.56,58.11,12.55,35.24,48.66,13.42,1
KIPP Philosophers Academy,37.81,33.56,-4.25,25.31,17.79,-7.52,1
Mt. Diablo High,50.22,36.46,-13.76,20.34,14.58,-5.76,1
Foster Elementary,33.33,31.99,-1.34,28.62,29.63,1.01,1
Willard Elementary,33.64,44.07,10.43,39.32,44.78,5.46,1
Laurelwood Elementary,79.57,82.64,3.07,77.11,83.22,6.11,1
Brewer Island Elementary,75.27,79.18,3.91,76.41,80.13,3.72,1
Delta View Elementary,41.87,41.02,-0.85,39.45,34.68,-4.77,1
Heights Elementary,32.23,32.43,0.2,22.85,22.9,0.05,1
Humphreys Avenue Elementary,40.13,40.07,-0.06,40.75,32.66,-8.09,1
Crowne Hill Elementary,73.83,69.36,-4.47,64.06,60.61,-3.45,1
Scott Avenue Elementary,62.03,55.56,-6.47,53.8,50.51,-3.29,1
