School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Antelope Valley Union High School District,38.75,38.63,-0.12,13.57,12.37,-1.2,0
Santa Monica-Malibu Unified School District,74.53,74.44,-0.09,61.25,61.25,0,0
El Monte City School District,50.5,51.48,0.98,37.56,39.98,2.42,0
Lucia Mar Unified School District,53.76,56.06,2.3,39.11,42.06,2.95,0
Kings Canyon Joint Unified School District,49.47,52.16,2.69,36.01,40.42,4.41,0
Redondo Beach Unified School District,73.92,77.78,3.86,69.02,72.44,3.42,0
Marysville Joint Unified School District,35.74,36.92,1.18,26.52,26.85,0.33,0
Bonita Unified School District,70.99,70.72,-0.27,56.19,59.83,3.64,0
Woodland Joint Unified School District,40.15,42.83,2.68,28.53,27.89,-0.64,0
East Side Union High School District,61.29,62.25,0.96,39.96,41.75,1.79,0
Milpitas Unified School District,71.02,71.21,0.19,64.62,64.7,0.08,0
Los Alamitos Unified School District,81.75,83.74,1.99,74.21,74.17,-0.04,0
San Lorenzo Unified School District,34.06,33.21,-0.85,23.4,23.16,-0.24,0
Lincoln Unified School District,49.66,51.44,1.78,34.76,37.37,2.61,0
Salinas City Elementary School District,30.96,32.2,1.24,22.44,26.35,3.91,0
Redwood City Elementary School District,52.16,54.21,2.05,44.53,46.13,1.6,0
Hawthorne School District,45.99,47.54,1.55,36.7,38.28,1.58,0
Lompoc Unified School District,46.65,44.14,-2.51,26.66,28.74,2.08,0
Franklin-McKinley Elementary School District,44.66,44.5,-0.16,37.87,36.35,-1.52,0
Monterey Peninsula Unified School District,37.76,36.06,-1.7,26.14,24.89,-1.25,0
Arcadia Unified School District,76.2,77.59,1.39,75.27,75.81,0.54,0
Castro Valley Unified School District,66.86,68.1,1.24,61.67,63.21,1.54,0
Santa Rosa High School District,,47.67,,,31.54,,0
Calexico Unified School District,30,33.03,3.03,21.95,22.57,0.62,0
Alisal Union School District,31.83,36.41,4.58,23.03,28.53,5.5,0
Inglewood Unified School District,30.01,30.01,0,18.9,18.54,-0.36,0
Berkeley Unified School District,65.58,66.72,1.14,59.54,61.67,2.13,0
Yucaipa-Calimesa Joint Unified School District,49.56,49.25,-0.31,35.21,36.33,1.12,0
Alameda Unified School District,68.11,69.43,1.32,60.3,59.74,-0.56,0
Berryessa Union Elementary School District,62.89,64.98,2.09,56.81,58.3,1.49,0
Delano Union Elementary School District,38.87,42.55,3.68,26.5,32.66,6.16,0
Campbell Union School District,55.24,57.49,2.25,49.31,51.64,2.33,0
San Leandro Unified School District,37.75,42.13,4.38,25.64,28.71,3.07,0
Huntington Beach City Elementary School District,74.92,74.8,-0.12,69.25,68.67,-0.58,0
Dry Creek Joint Elementary School District,58.83,60.39,1.56,46.95,51.58,4.63,0
West Covina Unified School District,52.89,52.16,-0.73,38.61,40.35,1.74,0
Victor Valley Union High School District,37.63,37.49,-0.14,18.29,18.63,0.34,0
South San Francisco Unified School District,49.89,51.93,2.04,43.41,43.94,0.53,0
El Rancho Unified School District,42.4,43.34,0.94,26.35,28.79,2.44,0
Morgan Hill Unified School District,49.08,48.96,-0.12,39.58,39.18,-0.4,0
Morongo Unified School District,38.97,41.43,2.46,25.87,27.36,1.49,0
Santee School District,56.55,55.68,-0.87,49.1,48.84,-0.26,0
Davis Joint Unified School District,70.44,72.03,1.59,65.84,65.56,-0.28,0
South Bay Union School District,36.45,35.6,-0.85,28.58,30.09,1.51,0
Fountain Valley Elementary School District,75.3,77.37,2.07,73.06,76.57,3.51,0
Azusa Unified School District,39.33,39.51,0.18,28.28,30.73,2.45,0
Pleasant Valley School District,63.17,65.13,1.96,50.24,53.23,2.99,0
Sunnyvale School District,58.93,59.4,0.47,54.92,53.96,-0.96,0
Mountain View Elementary School District,36.97,39.57,2.6,24.89,28.38,3.49,0
Washington Unified School District,44.32,45.45,1.13,30.46,32.22,1.76,0
Hanford Elementary School District,45.73,44.71,-1.02,37.82,38.04,0.22,0
Union Elementary School District,79.28,78.29,-0.99,75.06,75.98,0.92,0
Snowline Joint Unified School District,43.79,43.49,-0.3,33.47,33.64,0.17,0
San Luis Coastal Unified School District,68.33,70.28,1.95,61.64,64.08,2.44,0
Alta Loma Elementary School District,67.75,68.24,0.49,54.44,58.53,4.09,0
Oxnard Union High School District,42.74,40.58,-2.16,23.9,21.27,-2.63,0
Whittier City Elementary School District,46.56,48.25,1.69,37.86,40.11,2.25,0
Jefferson Elementary School District,49.48,47.79,-1.69,36.81,37.84,1.03,0
Rosedale Union Elementary School District,61.11,64.29,3.18,54.11,56.54,2.43,0
Newhall School District,71.14,69.07,-2.07,67.85,68.66,0.81,0
